NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures
NCT07048548,Assessment of THL and Potential Risk of Hypothyroidism in Healthcare Workers Exposed to Low-dose Ionizing Radiation,https://clinicaltrials.gov/study/NCT07048548,,ACTIVE_NOT_RECRUITING,"""This study is designed to evaluate the thyroid health of healthcare workers exposed to low-dose ionizing radiation at INMOL Cancer Hospital, Lahore. Specifically, it investigates whether prolonged occupational exposure in radiology and nuclear medicine departments is associated with altered thyroid hormone levels or an increased risk of hypothyroidism. The thyroid gland is highly sensitive to radiation, and existing literature suggests a possible link between occupational exposure and thyroid dysfunction.",NO,Hyperthyroidism,BEHAVIORAL: Thyroid Function Monitoring,"thyroid function assessment, Thyroid function is assessed through blood tests, primarily measuring TSH (Thyroid Stimulating Hormone), T4 (Thyroxine), and sometimes T3 (Triiodothyronine) levels. Abnormal levels of these hormones can indicate an underactive (hypothyroidism) or overactive (hyperthyroidism) thyroid.

Normal Ranges (approximate):

TSH: 0.4 - 4.0 mIU/L Free T4: 0.7 - 1.9 ng/dL Total T4: 5.0 - 12.0 μg/dL Total T3: 80 - 220 ng/dL, 12 Months",,
NCT07048535,"CAR T-cell Long-Term Follow-Up, Quality of Life and Adverse Reactions",https://clinicaltrials.gov/study/NCT07048535,,NOT_YET_RECRUITING,"To learn more about the long-term health in patients treated for B-Cell Acute Lymphoblastic Leukemia (B-ALL) with Cluster of Differentiation antigen 19 (CD19)

-redirected chimeric antigen receptor (CAR) T-cells.

Primary Objective:

To evaluate the feasibility of conducting standardized clinical assessments of pediatric, adolescent and young adult (AYA) B-ALL survivors post CD19-CAR T-cell therapy, treated at multiple institutions, leveraging the St Jude Lifetime Cohort (SJLIFE) clinical and research infrastructure.

Exploratory Objectives:

* To describe the prevalence of persistent and new/late-onset health conditions developing ≥2-years post CD19-CAR T-cell therapy in survivors of pediatric and AYA B-ALL.
* To characterize neurocognitive and neurologic function in survivors ≥2-years post CD19- CAR T-cell therapy.
* To characterize immune health in survivors ≥2-years post CD19-CAR T-cell therapy.
* To characterize functional status in survivors ≥2-years post CD19-CAR T-cell therapy.",NO,B-Cell Acute Lymphoblastic Leukemia (B-ALL),,"To evaluate the feasibility of conducting standardized clinical assessments of pediatric and AYA B-ALL survivors post CD19-CAR T-cell therapy, Estimation of participation rate, Until the last participant is taken off study (approximately 2030)",,
NCT07048522,Perioperative Intravenous Nimodipine Trial,https://clinicaltrials.gov/study/NCT07048522,,RECRUITING,"The role of perioperative IV administration of nimodipine, an L-type calcium channel antagonist which is capable of crossing the blood-brain barrier, on peri-operative opioid and anesthetics requirements, pain intensity, opioid-related side effects and early postoperative bowel mobility in patients undergoing surgical treatment for bowel cancer with open radical colectomy remains scarcely explored. A prospective double-blind, randomized controlled trial investigating the effect of perioperative IV administration of nimodipine in patients undergoing open colectomy for cancer treatment is therefore conducted.",NO,"Colectomy|Open Surgery|Pain|Pain, Postoperative|Pain, Acute",DRUG: Nimodipine|DRUG: Isotonic Saline,"Intraoperative Remifentanil Consumption, Remifentanil will be administered intraoperatively based on qNOX (quantum NOXious stimulus index) levels, which will be maintained between 40 and 60. qNOX values below 40 will prompt a reduction in remifentanil dosing, while values above 60 will prompt an increase, in order to optimize analgesia., Intraoperative period, defined as the time (in minutes) from induction of general anesthesia to extubation.|Intraoperative propofol consumption, Propofol will be administered intraoperatively based on BIS (Bispectral Index) and qCON (quantum Consciousness Index) values, which will be maintained between 40 and 60. BIS or qCON values below 40 will prompt a reduction in propofol dosing, while values above 60 will prompt an increase, in order to maintain appropriate depth of anesthesia., Intraoperative period, defined as the time (in minutes) from induction of general anesthesia to extubation.|Cumulative opioid consumption within 0 to 72 hours postoperatively, Cumulative morphine consumption (mg) during the first 72 hours after arrival at the Post Anesthesia Care Unit (PACU). During the first hour in the PACU, morphine will be administered using a titration method. Following transfer to the surgical ward, a patient-controlled analgesia (PCA) device will be used to monitor morphine consumption. Cumulative opioid use will be recorded at specific time points: 3, 6, 12, 18, 24, 30, 36, 48, 60, and 72 hours postoperatively., From Post Anesthesia Care Unit (PACU) admission (time zero) to 72 hours postoperatively.","Pain intensity at rest, Pain intensity at rest will be assessed using the Numerical Rating Scale (NRS; 0-10), starting upon arrival at the Post Anesthesia Care Unit (PACU) and continuing at the following postoperative time points on the ward: 3, 6, 12, 18, 24, 30, 36, 48, 60, and 72 hours., From Post Anesthesia Care Unit (PACU) admission (time zero) to 72 hours postoperatively.|Pain intensity during coughing, Pain intensity during coughing will be assessed using the Numerical Rating Scale (NRS; 0-10), beginning upon arrival at the Post Anesthesia Care Unit (PACU) and at the following postoperative time points on the ward: 3, 6, 12, 18, 24, 30, 36, 48, 60, and 72 hours., From Post Anesthesia Care Unit (PACU) admission (time zero) to 72 hours postoperatively.|Opioid related sedation, Number of participants with postoperative sedation assessed using the Ramsay Sedation Scale (range: 1 = anxious/agitated to 6 = no response to stimulus)., From Post Anesthesia Care Unit (PACU) admission (time zero) to 72 hours postoperatively.|Opioid related pruritus, Number of participants with documented pruritus related to opioid use, recorded as a binary outcome variable (yes/no)., From Post Anesthesia Care Unit (PACU) admission (time zero) to 72 hours postoperatively.|Postoperative nausea and/or vomiting (PONV), Number of participants with documented postoperative episodes of nausea and/or vomiting, recorded as a binary outcome variable (yes/no)., From Post Anesthesia Care Unit (PACU) admission (time zero) to 72 hours postoperatively.|Time to first signs of bowel mobilization, Time (in hours) from the end of surgery to the first documented sign of bowel function, defined as either the first bowel sounds on auscultation or the first passage of flatus. Assessment will take place in the surgical ward at the following postoperative time points: 24, 30, 36, 42, 48, 54, 60, 66, 72, 78, 84, and 90 hours, or until hospital discharge, whichever comes first., From end of surgery to 90 hours postoperatively or until hospital discharge, whichever comes first.|Length of stay (LOS), Total duration of hospitalization, measured in days from admission to discharge., Duration of hospitalization, from the day of admission to the day of discharge (up to 30 days).",
NCT07048509,Difference in Acute Responses of Vascular Function to Moderate-intensity and High-intensity Interval Training in Healthy and Prehypertensive Individuals,https://clinicaltrials.gov/study/NCT07048509,ACT-ON-ACUTE,NOT_YET_RECRUITING,"In this study, the investigators will evaluate acute changes in vascular function measures after moderate-intensity continuous and high-intensity interval exercise in healthy and prehypertensive individuals. Participants will be subjected to three separate visits: control condition (30 min rest), moderate-intensity continuous exercise, and high-intensity interval exercise. The investigators will measure aerobic capacity using a cardiopulmonary exercise test (CPET) using indirect gas-exchange to derive subsequent exercise intensity and maximal oxygen uptake. The investigators will evaluate different measures of vascular function (Pulse-wave velocity, Flow-mediated slowing, microvascular function) before and after each condition.

The study will involve two groups of participants: healthy individuals and prehypertensive individuals. The investigators aim to establish the reliability and validity of less-established methods of vascular function assessment (flow-mediated slowing and microvascular function) against established measures (pulse-wave velocity). The acute response of vascular function to different exercise intensities has not yet been thoroughly researched using the aforementioned measures in individuals with similar characteristics to the proposed study cohort.",NO,Prehypertension (Elevated Blood Pressure) or Hypertension|Healthy,OTHER: Control-no treatment|OTHER: Exercise|OTHER: Exercise,"Arterial stiffness, Arterial stiffness will be measured by pulse wave velocity, At the beginning of each visit (T0) and immediately after each acute stimulus (T1)|Microvascular function, Microvascular function will be mesured using near-infrared spectroscopy during and after a 5-minute occlusion of the brachial artery., At the beginning of each visit (T0) and immediately after each acute stimulus (T1)|Flow-mediated slowing, Flow-mediated slowing will be measured by pulse wave velocity deceleration after occlusion of the brachial artery., At the beginning of each visit (T0) and immediately after each acute stimulus (T1)","Aerobic capacity, Aerobic capacity will be assessed using cardiopulmonary exercise test on a cycle ergometer., Baseline|Blood pressure, Systolic and Diastolic blood pressure will be measured using M6 Omron Device., Baseline|Blood markers, Blood samples will be taken from the median cubital vein and will include basic blood panel markers (HDL-C, LDL-C, TC, TG, glucose...), At the beginning of each visit (T0) and immediately after each acute stimulus (T1)",
NCT07048496,"Intravesical Treatment of Bladder Cancer at Home, Multi-modal Treatment Support",https://clinicaltrials.gov/study/NCT07048496,BCG at Home,NOT_YET_RECRUITING,The proposed project will have two separate cohorts. The first will be to perform a more in-depth qualitative assessment of the barriers and facilitators for treatment compliance for non-muscle invasive bladder cancer. The second arm will be to create and test a BCG at home program. Participants in the second cohort will be enrolled in a conversational agent to measure patient symptoms and quality of life and improve self-efficacy.,NO,Bladder Cancer,OTHER: BCG delivery at home,"Rate of adherence to BCG therapy at 3 months after study initiation, The primary outcome will be the rate of adherence to AUA guidelines for BCG therapy as measured by successful treatments of BCG compared to expected treatments. For each participant, adherence will be calculated both as the percentage of adherent doses, evaluable for study participants, 3 months after study initiation","• Self efficacy as measured by the validated General Self efficacy scale, a 10-item scale, measured at 3 months after study initiation, The secondary outcomes will include self-efficacy and symptom management., 3 months after study initiation",
NCT07048483,Researching Engagement With Educational Lifestyle Content,https://clinicaltrials.gov/study/NCT07048483,REEL DIETS,NOT_YET_RECRUITING,"The goal of this study is to examine how different types of health messages affect people's self efficacy for healthy eating and diet quality. Eligible adult participants with overweight/obesity will be randomized into one of two groups: the intervention group, which will engage with audio-visual messages per week for four weeks, or the control group, which will not engage with any audio-visual messages but will receive written educational materials about healthy eating per week for four weeks.",NO,Diet Quality,BEHAVIORAL: Nutrition Education|OTHER: control group,"Diet quality, Rapid Eating Assessment for Participants - Short form survey. Total scores range from 13 to 39. Higher scores indicate better diet quality., 4 weeks|Self-efficacy, Healthy Eating and Weight Self-Efficacy scale. Total scores range from 11 to 55. Higher scores indicate greater self-efficacy for healthy eating and weight control behaviors., 4 weeks|Self-efficacy, Fruit and Vegetable Intake Self Efficacy scale. Score range is 1 to 7 (per item); mean scores calculated across 22 items. Higher scores indicate greater self-efficacy in consuming fruits or vegetables., 4 weeks","Intentions, Intentions to eat healthy scale. Each item is rated on a 7-point bipolar scale, with response options ranging from -3 to +3, where higher scores indicate stronger intentions to adopt a healthy diet., 4 weeks",
NCT07048470,"Efficacy of Synbiotic Supplementation on IL-10, TGF-B and Disease Activity in Systemic Lupus Erythematosus Patients",https://clinicaltrials.gov/study/NCT07048470,ESSENTIAL,COMPLETED,"Dysregulation of normal flora leads to dysbiosis, which has recently been investigated as an important internal environmental factor and has been proven to be associated with both active and remission phases of SLE, and can be used to predict disease activity. Administration of synbiotics is expected to restore mucosal barrier function and create an anti-inflammatory environment in the gut, by suppressing pro-inflammatory factors and increasing anti-inflammatory factors (IL-10 and TGF-β), leading to improved disease activity in SLE patients.",NO,Systemic Lupus Erythematosus,DIETARY_SUPPLEMENT: Synbiotic|DIETARY_SUPPLEMENT: Placebo,"IL-10, To determine the effectiveness of adding synbiotics compared to placebo on IL-10 concentration change in Systemic Lupus Erythematosus Patients, From enrollment to the end of the treatment at 12 weeks|TGF-B, To determine the effectiveness of adding synbiotics compared to placebo on TGF-B concentration change in Systemic Lupus Erythematosus Patients, From enrollment to the end of the treatment at 12 weeks|MEX-SLEDAI score, To determine the effectiveness of adding synbiotics compared to placebo towards MEX-SLEDAI score changes, From enrollment to the end of the treatment at 12 weeks",,
NCT07048457,Consolidative Local Therapy (CLT) in Oligo-metastatic Urothelial Carcinoma,https://clinicaltrials.gov/study/NCT07048457,CONSOLIdATE-1,NOT_YET_RECRUITING,This study investigates the therapeutic benefit of consolidative local therapy with extirpative surgery for participants with locally advanced or oligo-metastatic urothelial carcinoma that have disease control with enfortumab vedotin-based systemic therapy and surgically resectable or previously radiated metastatic sites.,NO,Locally Advanced Urothelial Carcinoma|Oligo-metastaic Urothelial Carcinoma,PROCEDURE: Radical cystectomy,"12-Month Progression-Free Survival in Patients with Locally Advanced/Oligo-Metastatic Urothelial Carcinoma, The primary outcome measure for this study is to evaluate the 12-month progression-free survival of consolidative therapy in participants with locally advanced or oligo-metastatic urothelial carcinoma (UC).

PFS will be assessed by measuring the time from the initiation of consolidative therapy to the occurrence of disease progression or death from any cause, whichever comes first. The primary endpoint for this outcome measure is the one-year progression-free survival rate, which represents the proportion of patients remaining free from disease progression or death at 12 months following the treatment. Data collected will provide insight into the efficacy of consolidative therapies in prolonging disease stability and improving survival outcomes for this patient population., 12 month post-surgery","Frequency of Treatment-Related Adverse Events in Patients with Locally Advanced/Oligo-Metastatic Urothelial Carcinoma, This secondary outcome measure focuses on assessing the frequency and severity of treatment-related adverse events (AEs) in participants with locally advanced or oligo-metastatic urothelial carcinoma (UC) undergoing consolidative therapy. This assessment will utilize the National Cancer Institute Common Terminology Criteria for Adverse Events (NCI CTCAE) version 5.0 to document the type, frequency, and grade of AEs reported by participants during and after the treatment period. The aim is to comprehensively evaluate the safety and tolerability of the consolidative therapy., Assessed 30 days and 90 days post-surgery|Frequency of 30-Day Postoperative Complications in Patients with Locally Advanced/Oligo-Metastatic Urothelial Carcinoma, This secondary outcome measure focuses on evaluating the incidence and severity of postoperative complications occurring within 30 days following surgical resection or multi-dose radiotherapy (MDRT) in participants with locally advanced or oligo-metastatic urothelial carcinoma. The assessment will be conducted using the Clavien-Dindo classification system, which categorizes surgical complications based on the intervention required for management. The goal is to understand the short-term impacts of the treatment on patient recovery and ensure that potential risks are clearly identified and managed., 30 days post-surgery|Changes in EORTC QLQ-C30 Global Health Status / Quality of Life (GHS/QoL) Subscale Scores Pre- and Post-Intervention Patients with Locally Advanced/Oligo-Metastatic Urothelial Carcinoma, This outcome measure evaluates changes in quality of life using the EORTC QLQ-C30 Global Health Status / Quality of Life (GHS/QoL) subscale. The primary endpoint is the change in GHS/QoL subscale scores from pre-intervention to post-intervention. The scores will be analyzed to determine if there is an improvement in the perceived global health and quality of life of the participants following the intervention., At screening, 30 days post-surgery, 180 days post-surgery then finally at 365 days post-surgery|Correlation Between Circulating Tumor DNA (ctDNA) Levels and Disease Recurrence Following Local Therapy in Patients with Locally Advanced/Oligo-Metastatic Urothelial Carcinoma, This secondary outcome measure aims to evaluate the correlation between circulating tumor DNA (ctDNA) levels and disease recurrence in participants with locally advanced or oligo-metastatic urothelial carcinoma (UC) following local therapy, including surgical resection or multi-dose radiotherapy (MDRT).

The assessment will involve:

Changes in ctDNA Status and Quantification: Measuring ctDNA levels at baseline (pre-intervention) and at specified intervals post-intervention to observe changes over time. This includes quantifying the concentration of ctDNA in blood samples using advanced molecular techniques.

Correlation with Disease Recurrence: Analyzing the relationship between ctDNA levels and disease recurrence rates. This will involve comparing ctDNA concentrations with clinical outcomes to determine if changes in ctDNA levels can serve as a predictive biomarker for disease recurrence after local therapy., At screening then at 30, 90, 180, 270 and 365 days post-surgery|Changes in EuroQoL Five Dimensions (EQ-5D) Scores Pre- and Post-Intervention in Patients with Locally Advanced/Oligo-Metastatic Urothelial Carcinoma, This outcome measure evaluates changes in quality of life using the EuroQoL Five Dimensions (EQ-5D) questionnaire. The primary endpoint is the change in EQ-5D scores from pre-intervention to post-intervention. The analysis will include both the single index value for health status and the visual analogue scale (VAS) score, aiming to measure improvements in quality of life across five dimensions: mobility, self-care, usual activities, pain/discomfort, and anxiety/depression., At screening then at 30, 90, 180, 270 and 365 days post-surgery",
NCT07048444,Surface Caries Feature Study,https://clinicaltrials.gov/study/NCT07048444,,NOT_YET_RECRUITING,"Dental caries (dental cavity) is very common and can impact oral health and oral health-related quality of life. Dental caries is when the tooth surfaces break down, and if left untreated, can cause tooth pain. In routine clinical practice, dental professionals typically assess caries lesions by looking at patients' teeth, touching the areas of interest with a dental probe, and running a probe over the teeth to check the buildup of bacteria.

Dentists often use x-rays to help find cavities, and they can also take pictures of the teeth to show what the problem looks like.

New tools called intraoral scanners are becoming more useful for finding cavities. These scanners do not use radiation and do not hurt. Some computer programs that use artificial intelligence (AI) can also help dentists find cavities. AI can study the spots on patients' teeth and help make better, faster decisions. The purpose of this study is to collect data that will be used to develop and test an AI software that can help dentists in the detection of caries.",NO,"Caries Active|Caries Root|Caries,Dental|Caries; Initial|Caries Assessment",OTHER: N/A as observational study,"Diagnostic accuracy for surface caries detection software (SCDS) in surface caries detection on visible tooth surfaces compared to clinical visual tactile examination using the International Caries Detection and Assessment System (ICDAS), Sensitivity of ≥0.68 and specificity of ≥0.83 for SCDS diagnostic accuracy in surface caries detection on visible tooth surfaces compared to clinical visual tactile examination using the ICDAS, Baseline",,
NCT07048431,Tibial Nerve Elastography in Chemotherapy-Induced Neuropathic Pain,https://clinicaltrials.gov/study/NCT07048431,,NOT_YET_RECRUITING,"This observational study aims to evaluate the tibial nerve stiffness using Shear Wave Elastography (SWE) in patients with chemotherapy-induced peripheral neuropathy (CIPN) compared to healthy volunteers. A total of 25 patients with a DN4 score ≥4 and 25 healthy controls will be assessed. Parameters including nerve diameter, cross-sectional area, depth, and shear wave velocity (V value) will be measured. Demographic and clinical data such as age, gender, chemotherapy protocol, duration, comorbidities, and medications will also be collected. The goal is to investigate SWE as a non-invasive diagnostic tool for CIPN by identifying differences in nerve elasticity between groups.",NO,Chemotherapy-induced Peripheral Neuropathy|Tibial Neuropathy,DIAGNOSTIC_TEST: Shear Wave Elastography Measurement,"Shear Wave Elastography (SWE) Stiffness Value, Shear Wave Elastography (SWE) is an imaging technique used to quantify tissue stiffness by measuring the propagation speed (V, m/s) of shear waves and converting it into elasticity values (E, kilopascals, kPa). Higher values may indicate fibrosis or increased tension, while lower values may reflect fatty infiltration or atrophy. In peripheral nerves, SWE has been used to assess elasticity in neuropathic conditions. Research shows that affected nerves in neuropathy exhibit increased stiffness compared to healthy nerves. Both shear wave velocity (V) and elasticity modulus (E) can be measured, offering objective, quantitative data to detect and monitor structural nerve changes., Single SWE measurement performed within the first week of study inclusion",,
NCT07048418,Aesthetic and Functional Self-Assessment Following Rhinoseptoplasty in Patients With Unilateral Cleft Lip and Palate,https://clinicaltrials.gov/study/NCT07048418,RHINOFENTE,NOT_YET_RECRUITING,"Secondary rhino-septoplasty in unilateral cleft lip and palate is the treatment of choice for the correction of aesthetic deformities and the functional impact on ventilation nasal. It remains a difficult treatment. It can be proposed at the end of growth or from the age of 10, depending on nasal obstruction and the severity of the deformity.

The CLEFT-Q questionnaire, validated in 2017, has not yet been widely used in studies. The NOSE questionnaire is an older functional questionnaire that is complementary to the CLEFT-Q.

Cleft lip and palate are rare diseases, accounting for around 30% of all facial clefts, which occur at a rate of 1/750 births in Europe. Deformation of the nose and nasal septum is constant, and more or less severe in unilateral forms.

In the absence of rhino-septoplasty performed during primary cleft repair surgery, deformities persist in children and adolescents. There is a significant aesthetic impact in children, which generally increases in adolescents. The problem of nasal obstruction causes functional discomfort that can be disabling. Open rhino-septoplasty is a standard procedure and is proposed as a secondary treatment in this population . It is indicated during growth in cases of nasal obstruction, or as a function of aesthetic demands.

The hypothesis is that secondary rhino-septoplasty gives long-term satisfaction in patients in terms of aesthetics and respiratory function. The originality of this study lies in the use of the recently validated CLEFT-Q questionnaire to assess the aesthetic and functional satisfaction of patients in adulthood after secondary rhino-septoplasty performed in childhood or adolescence. This long-term follow-up will enable us to assess the stability of aesthetic and functional results.",NO,Cleft Lip and Cleft Palate,OTHER: Mailing and completing CLEFT-Q and NOSE questionnaires,"Nasal Obstruction and Septoplasty Effectiveness (NOSE) Scale, The Nasal Obstruction and Septoplasty Effectiveness Scale (NOSE) consists of 5 items with 5 modalities (from 0 to 4) with higher scores indicating more severe symptoms : nasal congestion, nasal obstruction, difficulty breathing through the nose, sleep disturbance and breathing difficulties during exercise., At inclusion (i.e. 3 to 20 years after surgery, according to inclusion criteria)|CLEFT-Q nose appearance, A raw score is first calculated as the sum of the scale items, then rescaled from a conversion table into a score from 0 (worst) to 100 (best)., At inclusion (i.e. 3 to 20 years after surgery, according to inclusion criteria)|CLEFT-Q nostrils appearance, A raw score is first calculated as the sum of the scale items, then rescaled from a conversion table into a score from 0 (worst) to 100 (best)., At inclusion (i.e. 3 to 20 years after surgery, according to inclusion criteria)|CLEFT-Q face appearance, A raw score is first calculated as the sum of the scale items, then rescaled from a conversion table into a score from 0 (worst) to 100 (best)., At inclusion (i.e. 3 to 20 years after surgery, according to inclusion criteria)","Asher Mc Dade Score, The aesthetic result is assessed on the basis of photographs (from the medical file) of the face, profile and lower view of the face before/after surgery, using the Asher-McDade method (score from 3 : best appearance to 15 : worst appearance), At least 6 months after surgery|Surgical complications according to the Clavien Dindo classification, The Clavien-Dindo classification ranges from Grade 1 (minor deviation from normal recovery without pharmacological treatment) to Grade 5 (death). Grade 2 involves complications requiring drugs like antibiotics or blood transfusions. Grade 3 includes complications requiring surgical, endoscopic, or radiological intervention (IIIa without general anesthesia, IIIb with). Grade 4 refers to life-threatening complications needing ICU care (IVa single organ failure, IVb multi-organ). This system standardizes reporting and allows comparison of surgical outcomes., few days after surgery",
NCT07048405,Intermittent Cold Exposure and Brown Adipose Tissue Hyperplasia,https://clinicaltrials.gov/study/NCT07048405,ICEBATH,RECRUITING,"This clinical trial aims to explore how short-term cold acclimation influences the molecular and physiological function of brown adipose tissue (BAT), skeletal muscle, and white adipose tissue (WAT) in healthy adults aged 18-40 years (6 males, 6 females). aged 18-40 (6 males, 6 females).

The primary objective is to determine how cold acclimation alters gene expression and cellular heterogeneity in BAT, WAT, and skeletal muscle,

The secondary objectives include assessing whether cold exposure increases F-18 fluorodeoxyglucose (18F-FDG) uptake in BAT and other tissues, alters energy expenditure and cold tolerance, and promotes anti-inflammatory immune responses.

Researchers will compare tissue samples and imaging results before and after cold acclimation to assess whether cold exposure enhances BAT activity and induces beneficial physiological adaptations.

Participants will:

* Attend a baseline visits for resting energy expenditure and temperature measurements, 18F-FDG positron emission tomography compared with computer tomography (PET/CT) imaging, and biopsies of BAT, skeletal muscle, and WAT.
* Undergo 10 consecutive days of cold exposure (2 hours/day) using water-perfused cooling blankets.
* Return for follow-up visits to repeat energy expenditure assessments, PET/CT imaging, and biopsies to evaluate post-acclimation changes.",NO,Brown Adipose Tissue|Cold Exposure|18F-FDG PET/CT,OTHER: Cooling|PROCEDURE: Biopsies|RADIATION: Injection of 18F-FDG,"Brown adipose tissue transcriptional changes derived from cold exposure, We will be analyzing and comparing gene expression from nuclei extracted from BAT, WAT and skeletal muscle before and after cold the 10-day cold acclimation protocol., 1 year","Changes in brown adipose tissue activity before and after cold acclimation protocol, BAT activity will be measured using the glucose analogue 18-FDG radiotracer combine with PET/CT., year after|Energy expenditure, Energy expenditure measured with indirect calorimetry before and after cold acclimation protocol to evaluated any changes in response to intermittent cold exposure., year after|Skin and core temperature, Measurement of skin and core temperature before and after the cold acclimation protocol, year after|Immune cell leves, Analyse the percentage of immune cell populations before and after cold acclimation, year after",
NCT07048392,Retrieval-Based Word Learning in Developmental Language Disorder During Book Reading II,https://clinicaltrials.gov/study/NCT07048392,,RECRUITING,"Children with developmental language disorder (DLD; also referred to as specific language impairment) experience a significant deficit in language ability that is longstanding and harmful to the children's academic, social, and eventual economic well-being. Word learning is one of the principal weaknesses in these children. This project focuses on the word learning abilities of four- and five-year-old children with DLD. The goal of the project is to build on the investigators' previous work to determine whether, as has been found thus far, special benefits accrue when these children must frequently recall newly introduced words during the course of learning. In this study, the investigators seek to replicate the advantage that repeated retrieval holds over simple exposure to the words appearing in the context of a story book by increasing the degree to which the words are integrated into the story line.",NO,Developmental Language Disorder and Language Impairment|Specific Language Impairment|Language Development,BEHAVIORAL: Retrieval-based word learning: Repeated Spaced Retrieval condition|BEHAVIORAL: Retrieval-based word learning: Repeated Study condition,"Word Form Recall Accuracy (number of words correctly recalled) in Repeated Spaced Retrieval and Repeated Study conditions, Day 1, Child is asked to recall and say the word associated with each novel referent., 5 minutes after end of first (Day 1) learning period|Word Form Recall Accuracy (number of words correctly recalled) in Repeated Spaced Retrieval and Repeated Study conditions, Day 2, Child is asked to recall and say the word associated with each novel referent., 5 minutes after end of first (Day 2) learning period|Word Form Recall Accuracy (number of words correctly recalled) in Repeated Spaced Retrieval and Repeated Study conditions, One week, Child is asked to recall and say the word associated with each novel referent., One week after end of learning period|Word Meaning Recall Accuracy (number of semantic associations correctly recalled) in Repeated Spaced Retrieval and Repeated Study conditions, Day 1, Child is asked to recall and say semantic information associated with the novel referent., 5 minutes after end of first (Day 1) learning period|Word Meaning Recall Accuracy (number of semantic associations correctly recalled) in Repeated Spaced Retrieval and Repeated Study conditions, Day 2, Child is asked to recall and say semantic information associated with the novel referent., 5 minutes after end of first (Day 2) learning period|Word Meaning Recall Accuracy (number of semantic associations correctly recalled) in Repeated Spaced Retrieval and Repeated Study conditions, one week, Child is asked to recall and say semantic information associated with the novel referent., One week after end of learning period|Word recognition (number of words accurately identified) in repeated spaced retrieval and repeated study conditions., Upon hearing a novel word, the child is asked to indicate (by pointing) which picture among 4 options is referred to., One week after end of learning period",,
NCT07048379,Different Treatment Approaches for Carpal Tunnel Syndrome,https://clinicaltrials.gov/study/NCT07048379,,NOT_YET_RECRUITING,"Carpal tunnel syndrome is a common syndrome in the upper extremities resulting from compression of the median nerve, which branches out to the first three fingers of the wrist. The project will be studied in three separate groups. The first group consists of patients who only use orthoses, the second group consists of patients who only receive physical therapy, and the third group consists of patients who receive both orthoses and physical therapy. The aim of all three groups is to examine the effects of the interventions on the daily living activities, pain, grip strength, and quality of life of patients with carpal tunnel syndrome and to evaluate the patients' satisfaction levels after the interventions. As part of the study, the group using orthoses will be given a resting orthosis that keeps the wrist in a neutral position. The group receiving physical therapy will be administered Transcutaneous Electrical Nerve Stimulation (TENS) current, hot packs, and exercises. The third group will receive both the orthosis approach and the physical therapy approach. Ultimately, this project aims to help determine the most beneficial intervention for patients with carpal tunnel syndrome by comparing these three interventions.",NO,Carpal Tunnel Syndrome,DEVICE: Orthosis|OTHER: Physical Therapy,"Pain (visual analogue scale), Pain will be assessed using a visual analogue scale., Pain will be assessed before and immediately after the interventions (3 weeks later).",,
